matchNumber,stage,group,home,away,localDate,localTime,venue,city,country,venueTimeZone,utc
"1","Group A","A","Mexico","South Africa","2026-06-11","13:00","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","2026-06-11T19:00:00.000Z"
"2","Group A","A","Korea Republic","Czechia","2026-06-11","20:00","Estadio Akron","Guadalajara","Mexico","America/Mexico_City","2026-06-12T02:00:00.000Z"
"3","Group B","B","Canada","Bosnia and Herzegovina","2026-06-12","15:00","BMO Field","Toronto","Canada","America/Toronto","2026-06-12T19:00:00.000Z"
"4","Group D","D","United States","Paraguay","2026-06-12","18:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-13T01:00:00.000Z"
"5","Group C","C","Haiti","Scotland","2026-06-13","21:00","Gillette Stadium","Boston","United States","America/New_York","2026-06-14T01:00:00.000Z"
"6","Group D","D","Australia","Turkiye","2026-06-13","21:00","BC Place","Vancouver","Canada","America/Vancouver","2026-06-14T04:00:00.000Z"
"7","Group C","C","Brazil","Morocco","2026-06-13","18:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-13T22:00:00.000Z"
"8","Group B","B","Qatar","Switzerland","2026-06-13","12:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-06-13T19:00:00.000Z"
"9","Group E","E","Ivory Coast","Ecuador","2026-06-14","19:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-06-14T23:00:00.000Z"
"10","Group E","E","Germany","Curacao","2026-06-14","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-14T17:00:00.000Z"
"11","Group F","F","Netherlands","Japan","2026-06-14","15:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-14T20:00:00.000Z"
"12","Group F","F","Sweden","Tunisia","2026-06-14","20:00","Estadio BBVA","Monterrey","Mexico","America/Mexico_City","2026-06-15T02:00:00.000Z"
"13","Group H","H","Saudi Arabia","Uruguay","2026-06-15","18:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-06-15T22:00:00.000Z"
"14","Group H","H","Spain","Cape Verde","2026-06-15","12:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-15T16:00:00.000Z"
"15","Group G","G","Iran","New Zealand","2026-06-15","18:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-16T01:00:00.000Z"
"16","Group G","G","Belgium","Egypt","2026-06-15","12:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-06-15T19:00:00.000Z"
"17","Group I","I","France","Senegal","2026-06-16","15:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-16T19:00:00.000Z"
"18","Group I","I","Iraq","Norway","2026-06-16","18:00","Gillette Stadium","Boston","United States","America/New_York","2026-06-16T22:00:00.000Z"
"19","Group J","J","Argentina","Algeria","2026-06-16","20:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-06-17T01:00:00.000Z"
"20","Group J","J","Austria","Jordan","2026-06-16","21:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-06-17T04:00:00.000Z"
"21","Group L","L","Ghana","Panama","2026-06-17","19:00","BMO Field","Toronto","Canada","America/Toronto","2026-06-17T23:00:00.000Z"
"22","Group L","L","England","Croatia","2026-06-17","15:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-17T20:00:00.000Z"
"23","Group K","K","Portugal","DR Congo","2026-06-17","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-17T17:00:00.000Z"
"24","Group K","K","Uzbekistan","Colombia","2026-06-17","20:00","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","2026-06-18T02:00:00.000Z"
"25","Group A","A","Czechia","South Africa","2026-06-18","12:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-18T16:00:00.000Z"
"26","Group B","B","Switzerland","Bosnia and Herzegovina","2026-06-18","12:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-18T19:00:00.000Z"
"27","Group B","B","Canada","Qatar","2026-06-18","15:00","BC Place","Vancouver","Canada","America/Vancouver","2026-06-18T22:00:00.000Z"
"28","Group A","A","Mexico","Korea Republic","2026-06-18","19:00","Estadio Akron","Guadalajara","Mexico","America/Mexico_City","2026-06-19T01:00:00.000Z"
"29","Group C","C","Brazil","Haiti","2026-06-19","21:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-06-20T01:00:00.000Z"
"30","Group C","C","Scotland","Morocco","2026-06-19","18:00","Gillette Stadium","Boston","United States","America/New_York","2026-06-19T22:00:00.000Z"
